datetime,upper_band,middle_band,lower_band,open,high,low,close,volume
2023-04-25 14:19:00,208.72186,208.34680,207.97175,207.97000,208.07001,207.96001,208.07001,44853
2023-04-25 14:18:00,208.73784,208.37230,208.00677,208.06000,208.11720,207.95000,207.98000,57613
2023-04-25 14:17:00,208.74505,208.40630,208.06755,208.40500,208.40500,208.05000,208.05000,32574
2023-04-25 14:16:00,208.74342,208.43480,208.12618,208.39999,208.43120,208.35001,208.39011,30215
2023-04-25 14:15:00,208.77210,208.44854,208.12498,208.30000,208.39999,208.27000,208.37100,18072
2023-04-25 14:14:00,208.77985,208.45649,208.13313,208.26961,208.32001,208.19000,208.30499,28826
2023-04-25 14:13:00,208.77837,208.45902,208.13968,208.18500,208.28999,208.16850,208.26500,19045
2023-04-25 14:12:00,208.77445,208.46302,208.15159,208.28000,208.35001,208.13670,208.17000,25214
2023-04-25 14:11:00,208.75821,208.47702,208.19584,208.31000,208.35001,208.25999,208.28000,30727
2023-04-25 14:10:00,208.75543,208.47877,208.20211,208.29990,208.42000,208.23000,208.30000,179958
2023-04-25 14:09:00,208.75161,208.48727,208.22294,208.28999,208.35229,208.23000,208.28000,32385
